username,anime_name,anime_link,recommended,rating_user
Japan_lover888,Ubasuteyama,https://myanimelist.net/anime/27573/Ubasuteyama,Recommended,10
Sofantor,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,https://myanimelist.net/anime/53494/Boukensha_ni_Naritai_to_Miyako_ni_Deteitta_Musume_ga_S-Rank_ni_Natteta,Recommended,6
Videogamecoper,Kino no Tabi: The Beautiful World - The Animated Series,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series,Recommended,7
Deluxe_bt,Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,Not Recommended,3
AmericanNat1999,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Not Recommended,1
Deluxe_bt,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,Recommended,9
LuxuriousHeart,Dance Dance Danseur,https://myanimelist.net/anime/48702/Dance_Dance_Danseur,Recommended,8
OnidaDSTY,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Not Recommended,4
united1175,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,https://myanimelist.net/anime/38573/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_Ni-kai_Kougeki_no_Okaasan_wa_Suki_desu_ka,Not Recommended,3
B2Reviews,Macross Plus,https://myanimelist.net/anime/474/Macross_Plus,Recommended,9
torqueofalltime,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",https://myanimelist.net/anime/52990/Keikenzumi_na_Kimi_to_Keiken_Zero_na_Ore_ga_Otsukiai_suru_Hanashi,Recommended,9
Jeremiah333,Kokkoku,https://myanimelist.net/anime/36548/Kokkoku,Recommended,10
CyanCheetah,SKET Dance,https://myanimelist.net/anime/9863/SKET_Dance,Recommended,10
Moomochi,School Days,https://myanimelist.net/anime/2476/School_Days,Not Recommended,1
philippon,Horimiya: Piece,https://myanimelist.net/anime/54856/Horimiya__Piece,Recommended,8
Halo_s_Maze,Under Ninja,https://myanimelist.net/anime/49766/Under_Ninja,Recommended,8
DISKOWN,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,https://myanimelist.net/anime/2132/Inukami_The_Movie__Tokumei_Reiteki_Sousakan_Karina_Shirou,Not Recommended,6
DISKOWN,Inukami!,https://myanimelist.net/anime/940/Inukami,Not Recommended,6
perseii,Hikari no Ou,https://myanimelist.net/anime/43760/Hikari_no_Ou,Not Recommended,4
Adele666,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,Not Recommended,6
0x616e696d65,Tate no Yuusha no Nariagari Season 3,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,Not Recommended,4
MizuhoKamui,Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora,Recommended,8
Luis_Neves,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,Recommended,7
missnobodycares,Ojou to Banken-kun,https://myanimelist.net/anime/53300/Ojou_to_Banken-kun,Not Recommended,1
Tanikaze,Aya to Majo,https://myanimelist.net/anime/42143/Aya_to_Majo,Recommended,10
Anas-Suku,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Haiji,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,Not Recommended,3
Ba-Cii10,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,Recommended,9
coolrishi20,Akiba Meido Sensou,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,Recommended,9
GreenPoPo,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,Not Recommended,3
aaron_z,Mushoku Tensei II: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,Not Recommended,5
Lord_Spoon,Hataraku Maou-sama!! 2nd Season,https://myanimelist.net/anime/53200/Hataraku_Maou-sama_2nd_Season,Recommended,7
philippon,Hyouka,https://myanimelist.net/anime/12189/Hyouka,Recommended,10
countjohn,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,Recommended,10
JazRejalde,Godzilla 1: Kaijuu Wakusei,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,Recommended,7
zeknife,Renkin San-kyuu Magical? Pokaan,https://myanimelist.net/anime/941/Renkin_San-kyuu_Magical_Pokaan,Recommended,8
Spartyn,Xiaoke de Huatu Xie Hua,https://myanimelist.net/anime/55072/Xiaoke_de_Huatu_Xie_Hua,Recommended,10
RudolfTostarrica,Ryman's Club,https://myanimelist.net/anime/50185/Rymans_Club,Recommended,6
RudolfTostarrica,Tokyo Revengers: Tenjiku-hen,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,Recommended,6
Tayleen_Gravel,Kidou Senshi Gundam NT,https://myanimelist.net/anime/37764/Kidou_Senshi_Gundam_NT,Not Recommended,1
Mhliadesu,Toaru Ossan no VRMMO Katsudouki,https://myanimelist.net/anime/54431/Toaru_Ossan_no_VRMMO_Katsudouki,Recommended,8
AnimeEnjoyer420,Juuni Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki,Recommended,8
Eleiyas,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,Recommended,7
hiitsme2342,Kimi no Iru Machi,https://myanimelist.net/anime/17741/Kimi_no_Iru_Machi,Not Recommended,4
waraignsa,"""Oshi no Ko""",https://myanimelist.net/anime/52034/Oshi_no_Ko,Recommended,8
zxcvb321,Aoshi Jiuchong Tian,https://myanimelist.net/anime/56764/Aoshi_Jiuchong_Tian,Recommended,8
ChiefGamer,Yamada-kun to Lv999 no Koi wo Suru,https://myanimelist.net/anime/53126/Yamada-kun_to_Lv999_no_Koi_wo_Suru,Not Recommended,5
radio_active,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Afrian_Patria,New Game!!,https://myanimelist.net/anime/34914/New_Game,Recommended,8
passing_through,Yoru wa Neko to Issho Season 2,https://myanimelist.net/anime/54198/Yoru_wa_Neko_to_Issho_Season_2,Recommended,8
Japan_lover888,Ubasuteyama,https://myanimelist.net/anime/27573/Ubasuteyama,Recommended,10
Sofantor,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,https://myanimelist.net/anime/53494/Boukensha_ni_Naritai_to_Miyako_ni_Deteitta_Musume_ga_S-Rank_ni_Natteta,Recommended,6
Videogamecoper,Kino no Tabi: The Beautiful World - The Animated Series,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series,Recommended,7
Deluxe_bt,Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,Not Recommended,3
AmericanNat1999,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Not Recommended,1
Deluxe_bt,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,Recommended,9
LuxuriousHeart,Dance Dance Danseur,https://myanimelist.net/anime/48702/Dance_Dance_Danseur,Recommended,8
OnidaDSTY,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Not Recommended,4
united1175,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,https://myanimelist.net/anime/38573/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_Ni-kai_Kougeki_no_Okaasan_wa_Suki_desu_ka,Not Recommended,3
B2Reviews,Macross Plus,https://myanimelist.net/anime/474/Macross_Plus,Recommended,9
torqueofalltime,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",https://myanimelist.net/anime/52990/Keikenzumi_na_Kimi_to_Keiken_Zero_na_Ore_ga_Otsukiai_suru_Hanashi,Recommended,9
Jeremiah333,Kokkoku,https://myanimelist.net/anime/36548/Kokkoku,Recommended,10
CyanCheetah,SKET Dance,https://myanimelist.net/anime/9863/SKET_Dance,Recommended,10
Moomochi,School Days,https://myanimelist.net/anime/2476/School_Days,Not Recommended,1
philippon,Horimiya: Piece,https://myanimelist.net/anime/54856/Horimiya__Piece,Recommended,8
Halo_s_Maze,Under Ninja,https://myanimelist.net/anime/49766/Under_Ninja,Recommended,8
DISKOWN,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,https://myanimelist.net/anime/2132/Inukami_The_Movie__Tokumei_Reiteki_Sousakan_Karina_Shirou,Not Recommended,6
DISKOWN,Inukami!,https://myanimelist.net/anime/940/Inukami,Not Recommended,6
perseii,Hikari no Ou,https://myanimelist.net/anime/43760/Hikari_no_Ou,Not Recommended,4
Adele666,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,Not Recommended,6
0x616e696d65,Tate no Yuusha no Nariagari Season 3,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,Not Recommended,4
MizuhoKamui,Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora,Recommended,8
Luis_Neves,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,Recommended,7
missnobodycares,Ojou to Banken-kun,https://myanimelist.net/anime/53300/Ojou_to_Banken-kun,Not Recommended,1
Tanikaze,Aya to Majo,https://myanimelist.net/anime/42143/Aya_to_Majo,Recommended,10
Anas-Suku,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Haiji,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,Not Recommended,3
Ba-Cii10,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,Recommended,9
coolrishi20,Akiba Meido Sensou,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,Recommended,9
GreenPoPo,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,Not Recommended,3
aaron_z,Mushoku Tensei II: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,Not Recommended,5
Lord_Spoon,Hataraku Maou-sama!! 2nd Season,https://myanimelist.net/anime/53200/Hataraku_Maou-sama_2nd_Season,Recommended,7
philippon,Hyouka,https://myanimelist.net/anime/12189/Hyouka,Recommended,10
countjohn,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,Recommended,10
JazRejalde,Godzilla 1: Kaijuu Wakusei,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,Recommended,7
zeknife,Renkin San-kyuu Magical? Pokaan,https://myanimelist.net/anime/941/Renkin_San-kyuu_Magical_Pokaan,Recommended,8
Spartyn,Xiaoke de Huatu Xie Hua,https://myanimelist.net/anime/55072/Xiaoke_de_Huatu_Xie_Hua,Recommended,10
RudolfTostarrica,Ryman's Club,https://myanimelist.net/anime/50185/Rymans_Club,Recommended,6
RudolfTostarrica,Tokyo Revengers: Tenjiku-hen,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,Recommended,6
Tayleen_Gravel,Kidou Senshi Gundam NT,https://myanimelist.net/anime/37764/Kidou_Senshi_Gundam_NT,Not Recommended,1
Mhliadesu,Toaru Ossan no VRMMO Katsudouki,https://myanimelist.net/anime/54431/Toaru_Ossan_no_VRMMO_Katsudouki,Recommended,8
AnimeEnjoyer420,Juuni Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki,Recommended,8
Eleiyas,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,Recommended,7
hiitsme2342,Kimi no Iru Machi,https://myanimelist.net/anime/17741/Kimi_no_Iru_Machi,Not Recommended,4
waraignsa,"""Oshi no Ko""",https://myanimelist.net/anime/52034/Oshi_no_Ko,Recommended,8
zxcvb321,Aoshi Jiuchong Tian,https://myanimelist.net/anime/56764/Aoshi_Jiuchong_Tian,Recommended,8
ChiefGamer,Yamada-kun to Lv999 no Koi wo Suru,https://myanimelist.net/anime/53126/Yamada-kun_to_Lv999_no_Koi_wo_Suru,Not Recommended,5
radio_active,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Afrian_Patria,New Game!!,https://myanimelist.net/anime/34914/New_Game,Recommended,8
passing_through,Yoru wa Neko to Issho Season 2,https://myanimelist.net/anime/54198/Yoru_wa_Neko_to_Issho_Season_2,Recommended,8
Japan_lover888,Ubasuteyama,https://myanimelist.net/anime/27573/Ubasuteyama,Recommended,10
Sofantor,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,https://myanimelist.net/anime/53494/Boukensha_ni_Naritai_to_Miyako_ni_Deteitta_Musume_ga_S-Rank_ni_Natteta,Recommended,6
Videogamecoper,Kino no Tabi: The Beautiful World - The Animated Series,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series,Recommended,7
Deluxe_bt,Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,Not Recommended,3
AmericanNat1999,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Not Recommended,1
Deluxe_bt,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,Recommended,9
LuxuriousHeart,Dance Dance Danseur,https://myanimelist.net/anime/48702/Dance_Dance_Danseur,Recommended,8
OnidaDSTY,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Not Recommended,4
united1175,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,https://myanimelist.net/anime/38573/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_Ni-kai_Kougeki_no_Okaasan_wa_Suki_desu_ka,Not Recommended,3
B2Reviews,Macross Plus,https://myanimelist.net/anime/474/Macross_Plus,Recommended,9
torqueofalltime,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",https://myanimelist.net/anime/52990/Keikenzumi_na_Kimi_to_Keiken_Zero_na_Ore_ga_Otsukiai_suru_Hanashi,Recommended,9
Jeremiah333,Kokkoku,https://myanimelist.net/anime/36548/Kokkoku,Recommended,10
CyanCheetah,SKET Dance,https://myanimelist.net/anime/9863/SKET_Dance,Recommended,10
Moomochi,School Days,https://myanimelist.net/anime/2476/School_Days,Not Recommended,1
philippon,Horimiya: Piece,https://myanimelist.net/anime/54856/Horimiya__Piece,Recommended,8
Halo_s_Maze,Under Ninja,https://myanimelist.net/anime/49766/Under_Ninja,Recommended,8
DISKOWN,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,https://myanimelist.net/anime/2132/Inukami_The_Movie__Tokumei_Reiteki_Sousakan_Karina_Shirou,Not Recommended,6
DISKOWN,Inukami!,https://myanimelist.net/anime/940/Inukami,Not Recommended,6
perseii,Hikari no Ou,https://myanimelist.net/anime/43760/Hikari_no_Ou,Not Recommended,4
Adele666,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,Not Recommended,6
0x616e696d65,Tate no Yuusha no Nariagari Season 3,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,Not Recommended,4
MizuhoKamui,Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora,Recommended,8
Luis_Neves,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,Recommended,7
missnobodycares,Ojou to Banken-kun,https://myanimelist.net/anime/53300/Ojou_to_Banken-kun,Not Recommended,1
Tanikaze,Aya to Majo,https://myanimelist.net/anime/42143/Aya_to_Majo,Recommended,10
Anas-Suku,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Haiji,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,Not Recommended,3
Ba-Cii10,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,Recommended,9
coolrishi20,Akiba Meido Sensou,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,Recommended,9
GreenPoPo,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,Not Recommended,3
aaron_z,Mushoku Tensei II: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,Not Recommended,5
Lord_Spoon,Hataraku Maou-sama!! 2nd Season,https://myanimelist.net/anime/53200/Hataraku_Maou-sama_2nd_Season,Recommended,7
philippon,Hyouka,https://myanimelist.net/anime/12189/Hyouka,Recommended,10
countjohn,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,Recommended,10
JazRejalde,Godzilla 1: Kaijuu Wakusei,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,Recommended,7
zeknife,Renkin San-kyuu Magical? Pokaan,https://myanimelist.net/anime/941/Renkin_San-kyuu_Magical_Pokaan,Recommended,8
Spartyn,Xiaoke de Huatu Xie Hua,https://myanimelist.net/anime/55072/Xiaoke_de_Huatu_Xie_Hua,Recommended,10
RudolfTostarrica,Ryman's Club,https://myanimelist.net/anime/50185/Rymans_Club,Recommended,6
RudolfTostarrica,Tokyo Revengers: Tenjiku-hen,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,Recommended,6
Tayleen_Gravel,Kidou Senshi Gundam NT,https://myanimelist.net/anime/37764/Kidou_Senshi_Gundam_NT,Not Recommended,1
Mhliadesu,Toaru Ossan no VRMMO Katsudouki,https://myanimelist.net/anime/54431/Toaru_Ossan_no_VRMMO_Katsudouki,Recommended,8
AnimeEnjoyer420,Juuni Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki,Recommended,8
Eleiyas,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,Recommended,7
hiitsme2342,Kimi no Iru Machi,https://myanimelist.net/anime/17741/Kimi_no_Iru_Machi,Not Recommended,4
waraignsa,"""Oshi no Ko""",https://myanimelist.net/anime/52034/Oshi_no_Ko,Recommended,8
zxcvb321,Aoshi Jiuchong Tian,https://myanimelist.net/anime/56764/Aoshi_Jiuchong_Tian,Recommended,8
ChiefGamer,Yamada-kun to Lv999 no Koi wo Suru,https://myanimelist.net/anime/53126/Yamada-kun_to_Lv999_no_Koi_wo_Suru,Not Recommended,5
radio_active,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Afrian_Patria,New Game!!,https://myanimelist.net/anime/34914/New_Game,Recommended,8
passing_through,Yoru wa Neko to Issho Season 2,https://myanimelist.net/anime/54198/Yoru_wa_Neko_to_Issho_Season_2,Recommended,8
Japan_lover888,Ubasuteyama,https://myanimelist.net/anime/27573/Ubasuteyama,Recommended,10
Sofantor,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,https://myanimelist.net/anime/53494/Boukensha_ni_Naritai_to_Miyako_ni_Deteitta_Musume_ga_S-Rank_ni_Natteta,Recommended,6
Videogamecoper,Kino no Tabi: The Beautiful World - The Animated Series,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series,Recommended,7
Deluxe_bt,Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,Not Recommended,3
AmericanNat1999,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Not Recommended,1
Deluxe_bt,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,Recommended,9
LuxuriousHeart,Dance Dance Danseur,https://myanimelist.net/anime/48702/Dance_Dance_Danseur,Recommended,8
OnidaDSTY,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Not Recommended,4
united1175,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,https://myanimelist.net/anime/38573/Tsuujou_Kougeki_ga_Zentai_Kougeki_de_Ni-kai_Kougeki_no_Okaasan_wa_Suki_desu_ka,Not Recommended,3
B2Reviews,Macross Plus,https://myanimelist.net/anime/474/Macross_Plus,Recommended,9
torqueofalltime,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",https://myanimelist.net/anime/52990/Keikenzumi_na_Kimi_to_Keiken_Zero_na_Ore_ga_Otsukiai_suru_Hanashi,Recommended,9
Jeremiah333,Kokkoku,https://myanimelist.net/anime/36548/Kokkoku,Recommended,10
CyanCheetah,SKET Dance,https://myanimelist.net/anime/9863/SKET_Dance,Recommended,10
Moomochi,School Days,https://myanimelist.net/anime/2476/School_Days,Not Recommended,1
philippon,Horimiya: Piece,https://myanimelist.net/anime/54856/Horimiya__Piece,Recommended,8
Halo_s_Maze,Under Ninja,https://myanimelist.net/anime/49766/Under_Ninja,Recommended,8
DISKOWN,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,https://myanimelist.net/anime/2132/Inukami_The_Movie__Tokumei_Reiteki_Sousakan_Karina_Shirou,Not Recommended,6
DISKOWN,Inukami!,https://myanimelist.net/anime/940/Inukami,Not Recommended,6
perseii,Hikari no Ou,https://myanimelist.net/anime/43760/Hikari_no_Ou,Not Recommended,4
Adele666,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,Not Recommended,6
0x616e696d65,Tate no Yuusha no Nariagari Season 3,https://myanimelist.net/anime/40357/Tate_no_Yuusha_no_Nariagari_Season_3,Not Recommended,4
MizuhoKamui,Hanbun no Tsuki ga Noboru Sora,https://myanimelist.net/anime/587/Hanbun_no_Tsuki_ga_Noboru_Sora,Recommended,8
Luis_Neves,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,Recommended,7
missnobodycares,Ojou to Banken-kun,https://myanimelist.net/anime/53300/Ojou_to_Banken-kun,Not Recommended,1
Tanikaze,Aya to Majo,https://myanimelist.net/anime/42143/Aya_to_Majo,Recommended,10
Anas-Suku,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Haiji,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,Not Recommended,3
Ba-Cii10,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,Recommended,9
coolrishi20,Akiba Meido Sensou,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou,Recommended,9
GreenPoPo,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,Not Recommended,3
aaron_z,Mushoku Tensei II: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,Not Recommended,5
Lord_Spoon,Hataraku Maou-sama!! 2nd Season,https://myanimelist.net/anime/53200/Hataraku_Maou-sama_2nd_Season,Recommended,7
philippon,Hyouka,https://myanimelist.net/anime/12189/Hyouka,Recommended,10
countjohn,Gankutsuou,https://myanimelist.net/anime/239/Gankutsuou,Recommended,10
JazRejalde,Godzilla 1: Kaijuu Wakusei,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,Recommended,7
zeknife,Renkin San-kyuu Magical? Pokaan,https://myanimelist.net/anime/941/Renkin_San-kyuu_Magical_Pokaan,Recommended,8
Spartyn,Xiaoke de Huatu Xie Hua,https://myanimelist.net/anime/55072/Xiaoke_de_Huatu_Xie_Hua,Recommended,10
RudolfTostarrica,Ryman's Club,https://myanimelist.net/anime/50185/Rymans_Club,Recommended,6
RudolfTostarrica,Tokyo Revengers: Tenjiku-hen,https://myanimelist.net/anime/54918/Tokyo_Revengers__Tenjiku-hen,Recommended,6
Tayleen_Gravel,Kidou Senshi Gundam NT,https://myanimelist.net/anime/37764/Kidou_Senshi_Gundam_NT,Not Recommended,1
Mhliadesu,Toaru Ossan no VRMMO Katsudouki,https://myanimelist.net/anime/54431/Toaru_Ossan_no_VRMMO_Katsudouki,Recommended,8
AnimeEnjoyer420,Juuni Kokuki,https://myanimelist.net/anime/153/Juuni_Kokuki,Recommended,8
Eleiyas,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",https://myanimelist.net/anime/44037/Shin_no_Nakama_ja_Nai_to_Yuusha_no_Party_wo_Oidasareta_node_Henkyou_de_Slow_Life_suru_Koto_ni_Shimashita,Recommended,7
hiitsme2342,Kimi no Iru Machi,https://myanimelist.net/anime/17741/Kimi_no_Iru_Machi,Not Recommended,4
waraignsa,"""Oshi no Ko""",https://myanimelist.net/anime/52034/Oshi_no_Ko,Recommended,8
zxcvb321,Aoshi Jiuchong Tian,https://myanimelist.net/anime/56764/Aoshi_Jiuchong_Tian,Recommended,8
ChiefGamer,Yamada-kun to Lv999 no Koi wo Suru,https://myanimelist.net/anime/53126/Yamada-kun_to_Lv999_no_Koi_wo_Suru,Not Recommended,5
radio_active,Jujutsu Kaisen 2nd Season,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,Recommended,10
Afrian_Patria,New Game!!,https://myanimelist.net/anime/34914/New_Game,Recommended,8
passing_through,Yoru wa Neko to Issho Season 2,https://myanimelist.net/anime/54198/Yoru_wa_Neko_to_Issho_Season_2,Recommended,8
Japan_lover888,Ubasuteyama,https://myanimelist.net/anime/27573/Ubasuteyama,Recommended,10
Sofantor,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S-Rank ni Natteta,https://myanimelist.net/anime/53494/Boukensha_ni_Naritai_to_Miyako_ni_Deteitta_Musume_ga_S-Rank_ni_Natteta,Recommended,6
Videogamecoper,Kino no Tabi: The Beautiful World - The Animated Series,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series,Recommended,7
Deluxe_bt,Mirai Nikki (TV),https://myanimelist.net/anime/10620/Mirai_Nikki_TV,Not Recommended,3
AmericanNat1999,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,Not Recommended,1
Deluxe_bt,Mob Psycho 100,https://myanimelist.net/anime/32182/Mob_Psycho_100,Recommended,9
